iter	Passed	Remaining
0	169	169066
1	171	85771
2	177	58866
3	179	44721
4	181	36121
5	184	30590
6	186	26500
7	188	23351
8	191	21063
9	195	19309
10	196	17653
11	197	16262
12	198	15076
13	199	14076
14	201	13219
15	202	12473
16	205	11858
17	210	11484
18	212	10988
19	215	10538
20	217	10116
21	218	9702
22	220	9378
23	224	9130
24	226	8847
25	228	8551
26	230	8304
27	231	8038
28	233	7803
29	234	7596
30	238	7461
31	240	7272
32	241	7083
33	243	6930
34	245	6762
35	246	6602
36	247	6444
37	248	6303
38	251	6203
39	253	6081
40	254	5956
41	255	5838
42	257	5729
43	258	5620
44	259	5516
45	261	5417
46	262	5323
47	269	5348
48	270	5259
49	272	5171
50	273	5088
51	274	5004
52	275	4923
53	276	4848
54	278	4782
55	284	4798
56	286	4733
57	287	4666
58	288	4601
59	289	4540
60	290	4479
61	292	4419
62	293	4363
63	299	4377
64	300	4324
65	301	4269
66	302	4216
67	303	4164
68	304	4113
69	305	4063
70	306	4015
71	308	3973
72	309	3930
73	312	3904
74	313	3866
75	315	3830
76	316	3791
77	317	3754
78	318	3715
79	319	3677
80	321	3643
81	322	3607
82	322	3566
83	325	3545
84	326	3517
85	327	3484
86	328	3452
87	330	3420
88	331	3388
89	332	3357
90	333	3327
91	335	3306
92	336	3282
93	338	3258
94	341	3253
95	342	3229
96	344	3204
97	345	3178
98	346	3153
99	347	3130
100	349	3107
101	350	3083
102	351	3060
103	352	3037
104	355	3026
105	356	3009
106	358	2993
107	360	2974
108	361	2954
109	362	2934
110	363	2914
111	364	2893
112	366	2873
113	367	2852
114	368	2832
115	370	2826
116	372	2809
117	373	2794
118	375	2776
119	377	2765
120	379	2754
121	380	2738
122	382	2724
123	383	2709
124	386	2702
125	387	2688
126	388	2671
127	389	2656
128	391	2642
129	392	2626
130	393	2611
131	394	2596
132	395	2580
133	396	2565
134	398	2552
135	400	2545
136	401	2532
137	403	2518
138	404	2504
139	405	2492
140	406	2478
141	407	2463
142	408	2449
143	409	2436
144	410	2422
145	411	2409
146	413	2397
147	417	2400
148	418	2391
149	419	2379
150	420	2367
151	422	2355
152	423	2343
153	424	2330
154	425	2318
155	426	2307
156	427	2295
157	431	2298
158	433	2292
159	434	2282
160	435	2270
161	436	2259
162	438	2249
163	441	2248
164	442	2237
165	443	2229
166	446	2229
167	448	2219
168	449	2210
169	450	2200
170	451	2190
171	452	2180
172	454	2170
173	455	2161
174	456	2151
175	457	2141
176	458	2133
177	460	2126
178	461	2118
179	463	2109
180	464	2100
181	465	2091
182	466	2081
183	467	2072
184	468	2063
185	469	2054
186	470	2045
187	471	2036
188	474	2035
189	475	2028
190	476	2019
191	477	2011
192	478	2002
193	480	1994
194	481	1985
195	482	1977
196	483	1969
197	484	1961
198	485	1952
199	486	1944
200	489	1944
201	490	1939
202	492	1932
203	493	1924
204	494	1918
205	496	1912
206	497	1904
207	498	1897
208	499	1890
209	500	1883
210	502	1877
211	506	1881
212	507	1874
213	508	1866
214	509	1859
215	510	1852
216	511	1845
217	512	1838
218	513	1830
219	514	1823
220	515	1816
221	516	1811
222	520	1812
223	521	1807
224	522	1801
225	524	1794
226	525	1788
227	526	1781
228	527	1775
229	528	1768
230	529	1762
231	530	1757
232	532	1751
233	533	1747
234	536	1744
235	537	1739
236	539	1736
237	540	1732
238	542	1726
239	543	1720
240	544	1714
241	545	1709
242	546	1704
243	549	1703
244	551	1700
245	553	1696
246	554	1691
247	556	1686
248	557	1681
249	558	1676
250	560	1672
251	561	1667
252	562	1661
253	564	1659
254	566	1655
255	568	1653
256	570	1649
257	573	1649
258	575	1647
259	577	1644
260	581	1646
261	583	1642
262	584	1637
263	586	1636
264	589	1633
265	590	1628
266	591	1623
267	592	1618
268	593	1614
269	596	1612
270	598	1610
271	600	1605
272	601	1602
273	604	1602
274	606	1597
275	607	1593
276	611	1596
277	614	1595
278	616	1594
279	618	1591
280	620	1586
281	621	1583
282	622	1578
283	626	1578
284	627	1575
285	629	1571
286	632	1570
287	633	1565
288	634	1561
289	635	1556
290	637	1552
291	638	1547
292	642	1549
293	644	1547
294	646	1544
295	647	1539
296	648	1535
297	649	1530
298	650	1526
299	651	1521
300	652	1516
301	656	1517
302	658	1514
303	659	1510
304	660	1506
305	662	1501
306	663	1497
307	664	1492
308	665	1488
309	666	1483
310	667	1478
311	668	1474
312	670	1470
313	672	1468
314	673	1464
315	675	1461
316	676	1457
317	677	1453
318	678	1449
319	679	1444
320	680	1440
321	681	1435
322	682	1431
323	685	1431
324	687	1428
